name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_351,True,True,1.0677,3.66,1.91,0.5705,0.5652,0.678,True
test_352,True,True,4.6652,8.76,16.16,0.0075,0.5129,0.000,True
test_353,True,True,1.1229,4.68,2.81,0.3533,0.5381,0.720,True
test_354,True,True,2.6383,21.70,17.38,0.0000,0.3048,0.000,False
test_355,True,True,0.8582,0.24,1.67,0.5713,0.4325,0.550,True
test_356,True,True,20.5741,88.80,56.29,0.0000,0.4259,0.263,False
test_357,True,True,6.0854,7.42,3.11,0.1398,0.2533,0.176,False
test_358,True,True,0.4760,16.20,16.97,0.0000,0.3687,0.427,False
test_359,True,True,12.1245,48.64,29.46,0.0066,0.4333,0.000,False
test_360,True,True,0.3634,1.75,1.15,0.7595,0.5431,0.679,True
test_361,True,True,0.2477,1.15,0.75,0.7581,0.5721,0.702,True
test_362,True,True,0.1673,1.20,0.92,0.8704,0.5593,0.723,True
test_363,True,True,1.5786,5.17,2.58,0.4682,0.5141,0.699,True
test_364,True,True,28.1462,96.78,52.01,0.0291,0.5988,0.653,False
test_365,True,True,0.6961,1.64,0.52,0.7920,0.5358,0.697,True
test_366,True,True,1.4745,2.29,0.06,0.5928,0.5665,0.695,True
test_367,True,True,0.1753,0.10,0.39,0.8721,0.6132,0.707,True
test_368,True,True,28.5494,101.39,55.95,0.0241,0.5645,0.690,False
test_369,True,True,1.0235,3.33,1.62,0.6228,0.5508,0.704,True
test_370,True,True,36.6647,100.57,41.42,0.0217,0.4832,0.157,False
test_371,True,True,5.0431,5.35,13.68,0.0640,0.4559,0.000,False
test_372,True,True,1.9063,6.23,3.08,0.3408,0.3214,0.675,True
test_373,True,True,3.3921,10.49,4.82,0.2035,0.2313,0.651,False
test_374,True,True,1.7978,5.09,2.04,0.4251,0.3366,0.679,True
test_375,True,True,0.5988,2.34,1.37,0.6593,0.4217,0.697,True
test_376,True,True,0.4620,0.33,1.10,0.7603,0.3500,0.697,True
test_377,True,True,1.0674,2.12,0.40,0.6947,0.4913,0.687,True
test_378,True,True,0.9337,1.13,0.40,0.6985,0.5740,0.688,True
test_379,True,True,0.4690,0.99,0.24,0.7583,0.5953,0.706,True
test_380,True,True,0.2879,2.39,1.92,0.5710,0.4962,0.723,True
test_381,True,True,0.1071,1.98,1.80,0.5712,0.4294,0.673,True
test_382,True,True,1.7166,4.83,2.08,0.4632,0.5162,0.705,True
test_383,True,True,30.5835,100.58,51.71,0.0270,0.5048,0.725,False
test_384,True,True,5.5141,8.18,17.01,0.0249,0.5596,0.000,False
test_385,True,True,28.6696,92.56,46.94,0.0291,0.5505,0.656,False
test_386,True,True,2.4347,6.22,2.19,0.3254,0.4367,0.678,True
test_387,True,True,18.7086,100.62,71.12,0.0000,0.5029,0.115,False
test_388,True,True,4.0926,10.03,3.13,0.2233,0.4000,0.624,False
test_389,True,True,0.4363,1.82,1.11,0.6565,0.6074,0.676,True
test_390,True,True,0.0038,0.95,0.94,0.7619,0.4830,0.676,True
